County Level Vaccination Data for West Virginia
Date generated: Fri Apr 23 2021 10:59:47 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barbour,275,1.7,272,2.1,177,5.2
Berkeley,20814,17.5,20750,22.6,8781,49
Boone,4792,22.3,4781,28.1,2211,49.3
Braxton,1119,8,1119,9.9,641,19.4
Brooke,2842,13,2828,15.6,1503,27.9
Cabell,11964,13,11803,16,4767,26.7
Calhoun,545,7.7,544,9.3,302,16.6
Clay,1187,14,1185,17.9,636,35.3
Doddridge,139,1.6,139,1.9,82,4.4
Fayette,7832,18.5,7737,23,3533,38.3
Gilmer,2118,27.1,2118,31.6,685,49.4
Grant,1038,9,1033,11.1,569,19.6
Greenbrier,8493,24.5,8375,30,3852,47.3
Hampshire,2773,12,2770,14.6,1525,28.1
Hancock,3701,12.8,3685,15.8,1933,28.3
Hardy,2110,15.3,2106,19.2,1007,32.5
Harrison,10052,14.9,9975,18.8,4618,34.7
Jackson,2670,9.3,2662,11.8,1427,23.9
Jefferson,9200,16.1,9181,20.6,3902,40.8
Kanawha,36174,20.3,35515,24.9,15834,42
Lewis,3263,20.5,3248,25.8,1546,46
Lincoln,2035,10,2032,12.8,998,24.5
Logan,6714,21,6687,26.3,2961,43.9
Marion,2089,3.7,2084,4.6,1240,11.2
Marshall,1877,6.1,1865,7.6,928,13.2
Mason,4123,15.5,4118,19.6,2184,38.1
McDowell,2496,14.2,2477,17.7,1038,25.8
Mercer,13611,23.2,13565,29.1,6318,48
Mineral,6293,23.4,6290,29.2,3182,53.5
Mingo,3902,16.7,3896,21.4,1805,38.9
Monongalia,9859,9.3,9799,11.1,3098,22.2
Monroe,2792,21,2766,25.9,1337,39.6
Morgan,180,1,180,1.2,132,3.1
Nicholas,5529,22.6,5484,28.2,2673,47.6
Ohio,1594,3.8,1585,4.7,689,7.5
Pendleton,1809,26,1808,31.7,1014,51.7
Pleasants,327,4.4,327,5.4,218,14.9
Pocahontas,1557,18.9,1552,22.7,840,38.9
Preston,7598,22.7,7569,28,3309,47.4
Putnam,4738,8.4,4714,10.7,2457,23
Raleigh,10315,14.1,10261,17.6,4830,31.1
Randolph,6247,21.8,6186,26.6,2951,46.3
Ritchie,1287,13.5,1285,16.7,758,34.5
Roane,230,1.7,229,2.1,141,4.5
Summers,1125,8.9,1110,10.5,581,17.7
Taylor,306,1.8,304,2.3,184,5.2
Tucker,1605,23.5,1585,27.2,748,40.8
Tyler,1038,12.1,1032,14.9,542,26.9
Unknown,237456,N/A,235779,N/A,103875,N/A
Upshur,837,3.5,833,4.3,545,10.8
Wayne,8331,21.1,8315,26.4,3944,46.1
Webster,1799,22.2,1783,27.3,938,48.1
Wetzel,762,5.1,756,6.2,454,13
Wirt,29,0.5,29,0.6,25,2.1
Wood,18206,21.8,18063,27.3,9545,54.7
Wyoming,5805,28.5,5749,35.4,2667,59.5
