County Level Vaccination Data for Wisconsin
Date generated: Fri Apr 23 2021 11:00:18 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,5998,29.7,5992,34.5,3727,61.1
Ashland,5960,38.3,5954,49.1,2731,86.7
Barron,13513,29.9,13482,37.9,7196,70.5
Bayfield,7989,53.1,7959,64,3789,89.3
Brown,85128,32.2,84782,41.9,33114,81.1
Buffalo,3842,29.5,3832,37,2052,69.2
Burnett,4927,32,4923,38.7,3052,67.4
Calumet,14147,28.2,14079,36.6,6006,76.4
Chippewa,20045,31,19993,39.6,9500,79.7
Clark,6401,18.4,6391,26,3530,59.6
Columbia,18548,32.2,18494,40.7,8978,84.9
Crawford,5450,33.8,5438,42.2,2931,75.8
Dane,221645,40.5,220384,50.5,70966,91.2
Dodge,22258,25.3,22204,31.4,11400,71.3
Door,12582,45.5,12547,54.1,7361,87.2
Douglas,9507,22,9483,27.3,4515,54.5
Dunn,10821,23.9,10794,29.6,5134,70.3
Eau Claire,34385,32.9,34247,41,13497,79.6
Florence,1308,30.5,1307,35.5,762,65.6
Fond du Lac,29379,28.4,29305,36,14479,73.7
Forest,3202,35.6,3198,44.2,1632,78.5
Grant,15280,29.7,15240,37.4,8003,88.1
Green,13484,36.5,13417,46.6,5797,81.4
Green Lake,5745,30.4,5733,38.8,3254,75.4
Iowa,8586,36.3,8559,46.5,3993,86.6
Iron,2198,38.6,2194,45.4,1332,73.1
Jackson,5722,27.7,5712,35.4,2688,67.6
Jefferson,23249,27.4,23193,34.6,10808,72.2
Juneau,7774,29.1,7747,36.3,4136,74.3
Kenosha,49168,29,48970,37.2,18668,75.6
Kewaunee,5885,28.8,5871,36.6,2956,69.1
La Crosse,40729,34.5,40578,42.8,16911,84.8
Lafayette,5565,33.4,5549,43.8,2651,82.1
Langlade,5601,29.2,5591,36.2,3357,70.8
Lincoln,7558,27.4,7544,33.4,4679,76.5
Manitowoc,24862,31.5,24777,39.4,12902,77.4
Marathon,34486,25.4,34369,32.7,17642,71.5
Marinette,10801,26.8,10792,33,6761,68.3
Marquette,4775,30.7,4768,37.9,2797,71.6
Menominee,1751,38.4,1751,57.6,559,87.8
Milwaukee,272730,28.8,271210,37.7,94689,71.6
Monroe,12653,27.4,12601,36.4,6172,76.2
Oconto,11281,29.7,11250,37.1,5853,73.9
Oneida,13380,37.6,13362,45.3,7826,82.4
Outagamie,56455,30,56203,39,22840,79.7
Ozaukee,32527,36.5,32299,46,14785,81.4
Pepin,2147,29.5,2144,37.2,1221,71.2
Pierce,9189,21.5,9165,27,4802,73.6
Polk,11130,25.4,11096,31.9,6739,72.2
Portage,19475,27.5,19401,33.9,9281,75.7
Price,4113,30.8,4099,37.4,2568,72.7
Racine,54648,27.8,54450,36,24751,73.6
Richland,5420,31.4,5394,39.9,3071,75.6
Rock,49501,30.3,49424,39.2,24816,89
Rusk,3137,22.1,3132,27.7,1913,54.4
Sauk,20275,31.5,20199,40.5,10183,82.9
Sawyer,5602,33.8,5577,41.7,3201,72.5
Shawano,12028,29.4,12013,37.3,5844,66.2
Sheboygan,34524,29.9,34420,38.2,16294,76.2
St. Croix,18394,20.3,18331,26.8,9251,69.5
Taylor,3806,18.7,3804,24.4,2186,54.9
Trempealeau,9995,33.7,9975,44.9,5060,92.5
Unknown,51505,N/A,51392,N/A,14853,N/A
Vernon,9498,30.8,9452,41.4,4729,76.9
Vilas,8364,37.7,8355,45.3,5145,74.7
Walworth,26001,25,25956,31.3,13404,70.3
Washburn,5889,37.5,5874,46,3535,82.1
Washington,37131,27.3,37042,34.7,18842,75
Waukesha,140855,34.8,140175,44.1,61574,79.4
Waupaca,14286,28,14258,35,7983,73.5
Waushara,6217,25.4,6209,31.1,3664,59.9
Winnebago,50636,29.5,50439,36.8,22413,77.5
Wood,22718,31.1,22611,39.5,11642,75.6
